Stock,minute_of_day,spread_bps,depth_gbp,volume
KGF.L,646,8.541348507244424,6103.23603125,1152.5647245846876
KGF.L,647,8.617052537169121,6122.7519999999995,2291.5587565338096
KGF.L,648,8.761728280540014,6151.1279765625,4704.141547255469
KGF.L,649,8.727412603563367,5752.333475806452,17737.595098021127
KGF.L,650,8.51954942384704,5931.318064516128,20932.84606195774
KGF.L,651,8.71271235246208,5915.628368852459,27777.2759079541
KGF.L,652,8.804134496578603,5571.3842734375,8508.500885981719
KGF.L,653,8.958266697031409,6078.710841269841,4526.118254007143
KGF.L,654,8.234167510712952,6007.6546953125,4090.5593393195313
KGF.L,655,8.444868819941131,5816.662484126984,6120.84357534127
KGF.L,656,8.695356876723293,6493.515859375,4118.659269875938
KGF.L,657,8.403645016660574,6197.235967741935,2939.9016061658062
KGF.L,658,8.694229447915088,5798.538983606558,3309.8088887411477
KGF.L,659,8.124423745754218,6262.673626984127,6428.881361393651
KGF.L,660,8.432473214786828,5733.0490322580645,5796.352843951613
KGF.L,661,8.669406095411082,5505.167693548387,2219.1364286025805
KGF.L,662,8.968585965063221,5587.454047619048,1943.757624563492
KGF.L,663,8.424479242227505,5757.010403225807,2168.8470090008063
KGF.L,664,8.651541886971913,6144.262222222223,2761.595009287143
KGF.L,665,8.95316304901757,5962.2246904761905,5400.805277334127
KGF.L,666,8.679040792933623,6458.490370689656,2562.7394468931034
KGF.L,667,8.811071460858898,6972.731976190476,12355.659530344605
KGF.L,668,8.505533190433592,6386.817721311475,2331.2084885159015
KGF.L,669,8.472362904260608,6177.731475806451,13487.02888560242
KGF.L,670,8.85753564873964,6138.074158730159,1545.888752831746
KGF.L,671,8.840660258805077,5753.852619047619,1605.8202269560318
KGF.L,672,8.459311455573928,5780.869109375,1481.3484615775
KGF.L,673,8.8869719510926,6821.7489921875,5087.605293013125
KGF.L,674,8.851474308217723,6654.572890625,3235.787037156094
KGF.L,675,8.66593639475995,6448.066725806451,4324.927679871774
KGF.L,676,8.827132297106802,5543.284709677419,84893.65218902323
KGF.L,677,8.26582721162124,6112.144295081967,5684.687627239672
KGF.L,678,8.52549517244451,4950.28565079365,2659.4103281290477
KGF.L,679,8.634307931169165,5824.791571428572,905.6163744701587
KGF.L,680,8.80547697243233,5703.695404761905,2016.5129550984127
KGF.L,681,9.049589092136744,5874.893870967741,2845.472989467742
KGF.L,682,8.652590416237889,6336.3714375,2224.7459259196876
KGF.L,683,8.60722255661271,6000.9448671875,51960.88323725344
KGF.L,684,8.946019195984837,7491.39110483871,2748.6410521680646
KGF.L,685,8.735962109459154,6014.538734375,2828.501597076875
KGF.L,686,8.593381177668945,6292.3029296875,2732.125660011719
KGF.L,687,8.742021107705634,7068.682523809524,1874.754781524127
KGF.L,688,8.278114076092411,5753.480222222222,33007.98731863762
KGF.L,689,8.205289311230347,6363.0359112903225,14792.333493985483
KGF.L,690,8.388027135102858,5224.804325396825,1995.4631691598413
KGF.L,691,8.304838411880505,6075.124241935484,17904.41833463226
KGF.L,692,8.271664710414065,5651.206103174603,3079.1801121593653
KGF.L,693,8.285808781284283,6296.09245,18361.171313572835
